tstamp,cuisine,critical_flag,borough
2020-03-05,Asian,Not Critical,Brooklyn
2020-02-07,Mexican,Not Critical,Queens
2020-03-04,Specialty,Critical,Staten Island
2020-02-15,Latin American,Not Critical,Brooklyn
2020-03-02,Pizza,Not Critical,Manhattan
2020-03-16,Mexican,Critical,Bronx
2020-02-25,Pizza,Critical,Queens
2020-03-11,Specialty,Critical,Brooklyn
2020-03-02,Bakery,Critical,Bronx
2020-02-04,Frozen Desserts,Not Critical,Queens
2020-02-04,Frozen Desserts,Not Critical,Queens
2020-02-19,Asian,Critical,Manhattan
2020-03-02,Italian,Critical,Manhattan
2020-03-02,Soups & Sandwiches,Not Critical,Bronx
2020-03-03,Italian,Critical,Bronx
2020-02-03,Latin American,Not Critical,Bronx
2020-02-03,Latin American,Not Critical,Bronx
2020-03-12,Asian,Critical,Queens
2020-03-11,Asian,Critical,Bronx
2020-02-06,Asian,Not Critical,Brooklyn
2020-02-20,Mexican,Critical,Manhattan
2020-02-24,Soups & Sandwiches,Critical,Queens
2020-03-16,Asian,Not Critical,Manhattan
2020-03-04,Coffee/Tea,Not Critical,Manhattan
2020-02-09,American,Not Critical,Queens
2020-02-12,Pizza,Critical,Manhattan
2020-02-11,Asian,Not Critical,Queens
2020-02-14,American,Critical,Manhattan
2020-02-20,Coffee/Tea,Not Critical,Queens
2020-03-16,Latin American,Not Critical,Bronx
2020-03-16,Latin American,Not Critical,Bronx
2020-02-26,Italian,Critical,Manhattan
2020-03-16,Italian,Critical,Manhattan
2020-02-14,Asian/Asian Fusion,Critical,Manhattan
2020-02-26,Specialty,Not Critical,Bronx
2020-02-28,American,Not Critical,Manhattan
2020-03-06,American,Not Critical,Manhattan
2020-03-06,American,Not Critical,Manhattan
2020-03-05,Italian,Critical,Staten Island
2020-03-04,Coffee/Tea,Critical,Manhattan
2020-02-27,American,Critical,Manhattan
2020-03-11,Coffee/Tea,Critical,Bronx
2020-02-24,Mexican,Critical,Brooklyn
2020-02-22,Pizza,Not Critical,Queens
2020-03-13,Soups & Sandwiches,Not Critical,Manhattan
2020-03-10,Latin/Caribbean,Not Critical,Brooklyn
2020-03-10,Asian,Critical,Manhattan
2020-03-05,Asian,Not Critical,Queens
2020-02-12,Pizza,Not Critical,Manhattan
2020-03-16,Specialty,Not Critical,Manhattan
2020-02-11,Mediterranean,Not Critical,Bronx
2020-02-27,Other,Not Critical,Brooklyn
2020-02-05,American,Critical,Brooklyn
2020-02-03,American,Critical,Queens
2020-02-08,Mexican,Not Critical,Manhattan
2020-03-11,Specialty,Critical,Brooklyn
2020-02-12,Specialty,Critical,Manhattan
2020-02-27,Other,Critical,Brooklyn
2020-02-11,Asian,Not Critical,Brooklyn
2020-02-24,Pizza,Critical,Queens
2020-03-05,American,Not Critical,Manhattan
2020-02-24,International,Critical,Manhattan
2020-02-12,American,Critical,Bronx
2020-02-24,American,Not Critical,Queens
2020-02-24,American,Not Critical,Queens
2020-02-18,Asian,Critical,Brooklyn
2020-02-27,American,Not Critical,Queens
2020-02-14,Asian,Critical,Manhattan
2020-03-16,American,Not Critical,Queens
2020-02-04,Soups/Salads/Sandwiches,Not Critical,Brooklyn
2020-02-14,American,Critical,Queens
2020-02-27,Asian,Critical,Queens
2020-02-20,Bakery,Critical,Brooklyn
2020-02-12,American,Not Critical,Staten Island
2020-02-29,Mediterranean,Critical,Queens
2020-03-09,Specialty,Critical,Manhattan
2020-02-27,Asian,Critical,Brooklyn
2020-02-27,American,Not Critical,Brooklyn
2020-03-04,Latin American,Not Critical,Queens
2020-02-13,Asian,Not Critical,Brooklyn
2020-02-27,Asian,Critical,Brooklyn
2020-03-04,American,Critical,Brooklyn
2020-02-25,Coffee/Tea,Critical,Brooklyn
2020-02-20,Specialty,Not Applicable,Brooklyn
2020-03-05,American,Not Critical,Brooklyn
2020-02-24,Bakery,Critical,Queens
2020-03-02,Coffee/Tea,Not Critical,Manhattan
2020-03-02,Coffee/Tea,Not Critical,Manhattan
2020-03-02,Coffee/Tea,Not Critical,Manhattan
2020-02-21,Pizza,Not Critical,Manhattan
2020-03-12,Mediterranean,Critical,Queens
2020-03-05,American,Critical,Brooklyn
2020-02-11,Latin/Caribbean,Critical,Queens
2020-02-28,Bakery,Critical,Queens
2020-02-21,American,Not Critical,Manhattan
2020-03-12,Pizza,Not Critical,Manhattan
2020-02-18,Asian,Not Critical,Brooklyn
2020-02-11,Mediterranean,Not Critical,Brooklyn
2020-02-14,American,Critical,Queens
2020-02-29,Mexican,Critical,Queens
2020-02-12,Asian,Critical,Brooklyn
2020-03-10,International,Not Critical,Manhattan
2020-03-05,American,Not Critical,Manhattan
2020-02-12,American,Critical,Queens
2020-02-12,Asian,Critical,Staten Island
2020-02-12,Asian,Critical,Staten Island
2020-02-05,American,Critical,Manhattan
2020-03-06,Bakery Products/Desserts,Critical,Manhattan
2020-02-27,American,Not Critical,Queens
2020-03-11,Coffee/Tea,Not Critical,Queens
2020-02-14,Pizza,Critical,Manhattan
2020-02-04,American,Not Critical,Brooklyn
2020-02-14,American,Critical,Manhattan
2020-03-03,Asian,Not Critical,Manhattan
2020-03-03,Soups & Sandwiches,Critical,Manhattan
2020-02-07,American,Critical,Manhattan
2020-03-12,American,Not Critical,Manhattan
2020-02-21,American,Critical,Queens
2020-02-20,Asian,Critical,Queens
2020-02-20,Asian,Critical,Queens
2020-03-12,Specialty,Critical,Brooklyn
2020-03-11,American,Critical,Manhattan
2020-02-11,Asian,Critical,Manhattan
2020-02-11,Asian,Critical,Manhattan
2020-03-11,American,Not Critical,Queens
2020-02-13,Bakery,Critical,Queens
2020-03-16,Bakery Products/Desserts,Critical,Queens
2020-03-03,Deli/Buffett,Critical,Brooklyn
2020-02-04,Asian,Critical,Queens
2020-03-09,Latin/Caribbean,Critical,Queens
2020-02-13,Asian,Critical,Staten Island
2020-02-27,Asian,Critical,Brooklyn
2020-03-16,American,Critical,Bronx
2020-03-16,Mediterranean,Not Critical,Manhattan
2020-03-10,Latin/Caribbean,Not Critical,Bronx
2020-02-24,International,Not Crittical,Manhattan
2020-02-25,American,Not Crittical,Brooklyn
2020-03-13,American,Not Crittical,Manhattan
2020-03-05,Coffee/Tea,Not Critical,Brooklyn
2020-03-05,Coffee/Tea,Not Critical,Brooklyn
2020-02-26,Latin American,Not Critical,Queens
2020-02-26,Latin American,Not Critical,Queens
2020-03-02,Coffee/Tea,Critical,Manhattan
2020-02-27,Specialty,Critical,Manhattan
2020-03-05,Soups & Sandwiches,Not Critical,Staten Island
2020-02-10,African,Critical,Manhattan
2020-02-20,Asian,Not Critical,Manhattan
2020-02-19,Asian,Not Critical,Brooklyn
2020-02-03,Asian,Critical,Manhattan
2020-03-10,Asian,Critical,Manhattan
2020-03-09,American,Critical,Queens
2020-03-11,Specialty,Critical,Brooklyn
2020-02-21,Coffee/Tea,Not Critical,Queens
2020-02-06,Specialty,Critical,Brooklyn
2020-02-06,American,Not Critical,Manhattan
2020-02-24,American,Not Critical,Manhattan
2020-02-24,American,Not Critical,Manhattan
2020-03-09,Bakery,Not Critical,Brooklyn
2020-02-03,Latin/Caribbean,Not Critical,Bronx
2020-03-05,International,Critical,Queens
2020-03-10,Latin/Caribbean,Critical,Queens
2020-03-02,Other,Not Critical,Manhattan
2020-02-08,Asian,Critical,Queens
2020-02-19,Mexican,Not Critical,Brooklyn
2020-02-19,Mexican,Not Critical,Brooklyn
2020-02-12,Asian,Not Critical,Manhattan
2020-03-10,American,Critical,Brooklyn
2020-02-25,Latin/Caribbean,Not Critical,Bronx
2020-03-10,Asian,Critical,Manhattan
2020-02-11,Latin American,Not Critical,Bronx
2020-03-02,Coffee/Tea,Critical,Brooklyn
2020-03-09,Pizza,Not Critical,Queens
2020-02-12,Italian,Critical,Manhattan
2020-02-11,American,Critical,Brooklyn
2020-02-25,Italian,Critical,Brooklyn
2020-03-04,Mexican,Criticsdsaal,Queens
2020-02-26,Asian,Criticdaal,Manhattan
2020-02-26,Bakery,Critical,Bronx
2020-03-12,Italian,Not Critaical,Manhattan
2020-02-27,Pizza,Critical,Manhattan
2020-03-11,Asian,Critical,Queens
2020-02-28,Mediterranean,Not Critical,Manhattan
2020-03-06,Bakery,Critical,Manhattan
2020-03-11,Mediterranean,Critical,Queens
2020-02-05,Specialty,Not Critical,Brooklyn
2020-02-05,Specialty,Not Critical,Brooklyn
2020-02-12,Soups & Sandwiches,Not Critical,Manhattan
2020-03-10,Asian,Critical,Manhattan
2020-03-02,Specialty,Critical,Queens
2020-02-28,Asian,Critical,Manhattan
2020-02-18,Steakhouse,Not Critical,Manhattan
2020-02-18,Steakhouse,Not Critical,Manhattan
2020-03-16,Pizza,Critical,Bronx
2020-02-21,Mediterranean,Critical,Brooklyn
2020-03-06,Pizza,Not Critical,Brooklyn
2020-03-04,Mediterranean,Critical,Brooklyn
2020-02-26,American,Not Critical,Brooklyn
2020-03-06,Coffee/Tea,Critical,Manhattan
2020-02-05,Specialty,Not Critical,Brooklyn
2020-03-10,Specialty,Critical,Brooklyn
2020-03-02,Coffee/Tea,Critical,Manhattan
2020-02-24,Mediterranean,Critical,Manhattan
2020-02-03,Frozen Desserts,Not Critical,Manhattan
2020-02-04,Asian,Critical,Queens
2020-02-14,Mediterranean,Critical,Brooklyn
2020-03-05,Coffee/Tea,Not Critical,Brooklyn
2020-03-11,Bakery,Not Critical,Staten Island
2020-03-11,Bakery,Not Critical,Staten Island
2020-03-11,Bakery,Not Critical,Staten Island
2020-03-06,Bakery Products/Desserts,Critical,Manhattan
2020-02-03,American,Not Critical,Manhattan
2020-02-27,Asian,Critical,Brooklyn
2020-03-13,American,Not Critical,Brooklyn
2020-03-13,American,Not Critical,Brooklyn
2020-02-26,American,Critical,Brooklyn
2020-03-11,Asian,Not Critical,Manhattan
2020-03-11,Asian,Not Critical,Manhattan
2020-03-04,Latin American,Not Critical,Manhattan
2020-03-04,Latin American,Not Critical,Manhattan
2020-03-02,Soups/Salads/Sandwiches,Not Critical,Manhattan
2020-02-19,American,Not Critical,Manhattan
2020-02-03,Mediterranean,Not Critical,Bronx
2020-03-04,Specialty,Not Critical,Manhattan
2020-03-04,Specialty,Not Critical,Manhattan
2020-02-05,Latin American,Critical,Queens
2020-02-19,Coffee/Tea,Critical,Manhattan
2020-02-22,Latin/Caribbean,Critical,Queens
2020-02-06,Specialty,Not Critical,Manhattan
2020-02-06,Specialty,Not Critical,Manhattan
2020-03-11,Coffee/Tea,Critical,Manhattan
2020-03-10,Asian,Critical,Brooklyn
2020-03-02,American,Not Critical,Manhattan
2020-02-03,American,Not Critical,Manhattan
2020-03-05,Latin American,Not Critical,Queens
2020-03-11,American,Not Critical,Bronx
2020-03-12,Latin American,Critical,Bronx
2020-03-09,Mexican,Not Critical,Staten Island
2020-02-28,Bakery,Not Critical,Manhattan
2020-02-21,Pizza,Not Critical,Queens
2020-02-10,Soups & Sandwiches,Critical,Manhattan
2020-02-28,Italian,Critical,Queens
2020-02-19,Southeast Asian,Critical,Staten Island
2020-02-24,Asian,Critical,Queens
2020-02-07,American,Not Critical,Manhattan
2020-02-07,American,Not Critical,Manhattan
2020-03-05,Soups & Sandwiches,Critical,Queens
2020-02-12,Asian,Critical,Manhattan
2020-02-20,American,Not Critical,Bronx
2020-02-20,American,Not Critical,Bronx
2020-03-11,Pizza,Critical,Bronx
2020-03-02,Asian,Not Critical,Queens
2020-02-05,Specialty,Critical,Bronx
2020-03-12,Mediterranean,Not Critical,Manhattan
2020-02-29,Asian,Critical,Queens
2020-03-05,Asian,Not Critical,Queens
2020-02-20,Latin/Caribbean,Not Critical,Brooklyn
2020-02-28,Specialty,Not Critical,Manhattan
2020-03-03,Soups & Sandwiches,Critical,Brooklyn
2020-02-15,Asian,Not Critical,Brooklyn
2020-03-09,Asian,Not Critical,Manhattan
2020-03-13,Pizza,Not Critical,Bronx
2020-02-29,Mexican,Critical,Queens
2020-02-28,Italian,Critical,Queens
2020-02-10,Frozen Desserts,Critical,Staten Island
2020-02-05,Latin American,Critical,Manhattan
2020-03-02,American,Not Critical,Brooklyn
2020-03-02,American,Not Critical,Brooklyn
2020-02-26,American,Critical,Brooklyn
2020-03-04,Asian,Not Critical,Queens
2020-03-04,American,Not Critical,Queens
2020-02-07,American,Not Critical,Manhattan
2020-02-04,Asian,Not Critical,Brooklyn
2020-02-05,American,Not Critical,Queens
2020-02-05,American,Critical,Manhattan
2020-02-11,Asian,Not Critical,Queens
2020-02-21,Mediterranean,Critical,Queens
2020-02-05,Asian,Not Critical,Queens
2020-03-09,American,Critical,Manhattan
2020-03-12,American,Not Critical,Manhattan
2020-03-10,Mediterranean,Critical,Brooklyn
2020-02-10,Pizza,Not Critical,Manhattan
2020-03-16,Mediterranean,Critical,Manhattan
2020-03-16,Coffee/Tea,Critical,Manhattan
2020-02-18,Latin/Caribbean,Not Critical,Brooklyn
2020-03-06,Mediterranean,Critical,Manhattan
2020-02-04,Specialty,Critical,Manhattan
2020-02-03,Pizza,Not Critical,Queens
2020-02-05,Coffee/Tea,Not Critical,Manhattan
2020-02-27,Specialty,Not Critical,Manhattan
2020-02-04,International,Not Critical,Manhattan
2020-02-05,Pizza,Not Critical,Brooklyn
2020-03-07,Mexican,Critical,Queens
2020-02-27,Specialty,Critical,Bronx
2020-03-12,American,Not Critical,Brooklyn
2020-02-04,American,Not Critical,Manhattan
2020-03-13,Specialty,Not Critical,Queens
2020-02-08,Specialty,Not Critical,Brooklyn
2020-02-04,Specialty,Critical,Brooklyn
2020-03-16,American,Not Critical,Manhattan
2020-02-04,Asian,Critical,Manhattan
2020-03-05,Soups & Sandwiches,Not Critical,Bronx
2020-02-26,American,Critical,Manhattan
2020-02-19,Latin American,Critical,Manhattan
2020-02-26,American,Not Critical,Queens
2020-03-04,Bakery Products/Desserts,Not Critical,Queens
2020-02-14,Coffee/Tea,Not Critical,Manhattan
2020-02-27,Frozen Desserts,Critical,Brooklyn
2020-02-27,American,Not Critical,Manhattan
2020-02-08,American,Critical,Brooklyn
2020-02-06,Bakery,Critical,Bronx
2020-02-05,Mediterranean,Critical,Queens
2020-03-04,Asian,Critical,Queens
2020-02-12,American,Not Critical,Brooklyn
2020-02-18,Specialty,Not Critical,Brooklyn
2020-02-18,Specialty,Not Critical,Brooklyn
2020-03-03,Specialty,Critical,Brooklyn
2020-03-16,American,Critical,Manhattan
2020-03-05,Mediterranean,Not Critical,Bronx
2020-03-02,American,Critical,Brooklyn
2020-03-03,Specialty,Critical,Manhattan
2020-02-06,American,Not Critical,Manhattan
2020-02-03,Coffee/Tea,Not Critical,Manhattan
2020-03-12,Asian,Not Critical,Queens
2020-03-12,Asian,Not Critical,Queens
2020-02-26,American,Not Critical,Brooklyn
2020-03-10,American,Critical,Brooklyn
2020-02-20,Coffee/Tea,Not Critical,Manhattan
2020-02-20,Coffee/Tea,Not Critical,Manhattan
2020-03-13,Coffee/Tea,Critical,Brooklyn
2020-03-11,Asian,Critical,Queens
2020-02-05,American,Not Critical,Brooklyn
2020-02-05,American,Not Critical,Brooklyn
2020-03-09,Asian,Critical,Bronx
2020-02-28,Italian,Not Critical,Queens
2020-02-20,American,Not Critical,Brooklyn
2020-02-14,Asian,Critical,Manhattan
2020-03-16,Specialty,Not Critical,Bronx
2020-02-12,Asian,Critical,Bronx
2020-02-27,Mediterranean,Critical,Brooklyn
2020-02-10,Asian,Critical,Bronx
2020-03-10,Asian,Not Critical,Manhattan
2020-02-12,American,Not Critical,Manhattan
2020-02-26,Bottled Beverages,Not Applicable,Queens
2020-03-09,Asian,Not Critical,Brooklyn
2020-03-12,Latin/Caribbean,Critical,Brooklyn
2020-03-03,Italian,Not Critical,Queens
2020-03-16,American,Not Critical,Manhattan
2020-02-19,Mexican,Critical,Queens
2020-03-10,Asian,Critical,Queens
2020-03-10,International,Critical,Manhattan
2020-03-03,Coffee/Tea,Not Critical,Manhattan
2020-02-13,Asian,Critical,Manhattan
2020-02-06,American,Not Critical,Manhattan
2020-02-25,Steakhouse,Not Critical,Manhattan
2020-02-19,Coffee/Tea,Critical,Brooklyn
2020-02-27,American,Not Critical,Manhattan
2020-02-22,Coffee/Tea,Critical,Manhattan
2020-03-10,Coffee/Tea,Not Critical,Manhattan
2020-03-06,American,Not Critical,Manhattan
2020-02-25,American,Critical,Manhattan
2020-02-19,American,Not Critical,Manhattan
2020-02-20,Deli/Buffett,Critical,Manhattan
2020-02-07,American,Not Critical,Manhattan
2020-03-10,Asian/Asian Fusion,Critical,Manhattan
2020-02-05,Asian/Asian Fusion,Critical,Manhattan
2020-02-05,Asian/Asian Fusion,Critical,Manhattan
2020-03-13,Specialty,Critical,Queens
2020-02-18,Italian,Not Critical,Brooklyn
2020-02-27,American,Not Critical,Manhattan
2020-02-05,Mediterranean,Not Critical,Manhattan
2020-02-24,American,Not Critical,Brooklyn
2020-03-16,Latin American,Not Critical,Brooklyn
2020-02-07,American,Critical,Queens
2020-02-21,American,Critical,Queens
2020-02-13,Pizza,Critical,Queens
2020-02-14,Latin/Caribbean,Critical,Queens
2020-03-03,Asian,Not Critical,Manhattan
2020-03-02,American,Not Critical,Manhattan
2020-02-05,Coffee/Tea,Critical,Manhattan
2020-02-05,American,Critical,Manhattan
2020-02-04,Bakery,Not Critical,Brooklyn
2020-02-04,Bakery,Not Critical,Manhattan
2020-02-03,Asian,Critical,Queens
2020-03-10,American,Not Critical,Brooklyn
2020-02-11,Asian,Not Critical,Manhattan
2020-02-20,American,Not Critical,Bronx
2020-02-28,Pizza,Critical,Bronx
2020-02-21,Mediterranean,Not Critical,Brooklyn
2020-03-02,Soups & Sandwiches,Critical,Brooklyn
2020-02-12,Asian,Critical,Manhattan
2020-02-10,American,Not Critical,Manhattan
2020-02-24,Latin American,Critical,Manhattan
2020-02-26,Asian,Not Critical,Brooklyn
2020-02-27,Mexican,Critical,Brooklyn
2020-02-14,Latin American,Critical,Manhattan
2020-02-11,American,Not Critical,Queens
2020-03-10,Asian,Not Critical,Manhattan
2020-02-26,Latin/Caribbean,Not Critical,Queens
2020-02-26,Latin American,Critical,Queens
2020-02-04,Bakery Products/Desserts,Critical,Queens
2020-02-28,Asian,Not Critical,Manhattan
2020-03-12,Latin American,Not Critical,Queens
2020-02-21,American,Critical,Manhattan
2020-03-13,American,Not Critical,Manhattan
2020-02-04,Asian,Not Critical,Manhattan
2020-02-27,Coffee/Tea,Critical,Manhattan
2020-03-11,Specialty,Not Critical,Brooklyn
2020-02-13,Asian,Not Critical,Queens
2020-02-25,Asian,Critical,Manhattan
2020-02-27,Italian,Not Critical,Manhattan
2020-02-19,American,Not Critical,Brooklyn
2020-02-10,American,Not Critical,Manhattan
2020-02-27,Italian,Critical,Manhattan
2020-03-03,Asian,Not Critical,Queens
2020-02-06,American,Critical,Brooklyn
2020-02-27,American,Not Critical,Manhattan
2020-02-27,American,Not Critical,Manhattan
2020-02-12,Mexican,Not Critical,Manhattan
2020-02-12,American,Not Critical,Brooklyn
2020-03-12,Bakery Products/Desserts,Not Critical,Manhattan
2020-02-21,Coffee/Tea,Not Applicable,Manhattan
2020-02-26,Specialty,Not Critical,Manhattan
2020-02-14,American,Not Critical,Manhattan
2020-02-14,American,Not Critical,Manhattan
2020-02-26,Specialty,Not Critical,Brooklyn
2020-02-26,Specialty,Not Critical,Brooklyn
2020-02-12,Italian,Not Critical,Staten Island
2020-02-12,Italian,Not Critical,Staten Island
2020-02-13,Coffee/Tea,Not Critical,Manhattan
2020-03-03,Soups & Sandwiches,Not Critical,Queens
2020-03-03,Soups & Sandwiches,Not Critical,Queens
2020-03-09,Pizza,Not Critical,Queens
2020-03-02,American,Not Critical,Queens
2020-02-27,Specialty,Not Critical,Manhattan
2020-02-04,Asian,Critical,Brooklyn
2020-02-28,American,Not Critical,Manhattan
2020-02-24,Asian,Not Critical,Manhattan
2020-03-05,Pizza,Critical,Staten Island
2020-03-11,Asian,Critical,Brooklyn
2020-02-24,Asian,Critical,Brooklyn
2020-02-13,American,Not Critical,Manhattan
2020-02-18,Specialty,Critical,Queens
2020-02-24,Pizza,Not Critical,Manhattan
2020-02-12,American,Not Critical,Manhattan
2020-03-05,Coffee/Tea,Critical,Manhattan
2020-03-03,American,Not Critical,Bronx
2020-02-11,Coffee/Tea,Critical,Manhattan
2020-03-04,Pizza,Critical,Bronx
2020-02-24,Specialty,Critical,Brooklyn
2020-03-04,Mexican,Critical,Brooklyn
2020-02-10,Latin American,Critical,Manhattan
2020-02-29,American,Not Critical,Manhattan
2020-02-07,American,Not Critical,Brooklyn
2020-03-09,Asian/Asian Fusion,Critical,Brooklyn
2020-02-20,American,Not Critical,Brooklyn
2020-03-03,Coffee/Tea,Critical,Queens
2020-02-19,Italian,Not Critical,Brooklyn
2020-03-16,American,Not Critical,Brooklyn
2020-03-16,American,Not Critical,Brooklyn
2020-02-11,American,Not Critical,Queens
2020-02-11,Specialty,Critical,Brooklyn
2020-02-13,Latin/Caribbean,Critical,Brooklyn
2020-03-12,Pizza,Critical,Manhattan
2020-03-11,Asian,Critical,Queens
2020-02-25,Latin/Caribbean,Not Critical,Brooklyn
2020-02-22,American,Not Critical,Manhattan
2020-02-11,Coffee/Tea,Not Critical,Manhattan
2020-02-12,Asian,Critical,Staten Island
2020-03-10,Bakery,Not Critical,Manhattan
2020-02-28,American,Critical,Manhattan
2020-02-20,Latin/Caribbean,Not Critical,Bronx
2020-02-11,Asian,Not Critical,Manhattan
2020-02-18,Asian,Critical,Queens
2020-03-03,American,Not Critical,Manhattan
2020-02-19,Bakery,Not Critical,Brooklyn
2020-02-19,Bakery,Not Critical,Brooklyn
2020-03-12,Pizza,Critical,Manhattan
2020-03-07,Mexican,Critical,Queens
2020-02-09,Latin American,Critical,Queens
2020-02-13,American,Critical,Queens
2020-03-09,Coffee/Tea,Not Critical,Queens
2020-03-11,Specialty,Critical,Queens
2020-02-21,Bakery,Not Critical,Bronx
2020-02-25,American,Critical,Brooklyn
2020-02-05,Coffee/Tea,Critical,Brooklyn
2020-03-04,American,Critical,Manhattan
2020-03-06,Soups & Sandwiches,Not Critical,Manhattan
2020-02-28,American,Critical,Manhattan
2020-03-12,Asian/Asian Fusion,Not Critical,Manhattan
2020-02-24,Asian,Critical,Manhattan
2020-02-18,Southeast Asian,Critical,Brooklyn
2020-03-16,Coffee/Tea,Critical,Manhattan
2020-03-10,American,Not Critical,Brooklyn
2020-03-07,Mexican,Not Critical,Brooklyn
2020-02-19,Asian,Not Critical,Brooklyn
2020-03-16,American,Not Critical,Queens
2020-03-02,Bakery Products/Desserts,Not Critical,Manhattan
2020-02-28,Mexican,Critical,Manhattan
2020-02-05,American,Critical,Brooklyn
2020-02-10,Coffee/Tea,Critical,Manhattan
2020-02-06,American,Not Critical,Queens
2020-02-10,Asian,Critical,Brooklyn
2020-03-06,Coffee/Tea,Not Critical,Queens
2020-02-18,Steakhouse,Not Critical,Bronx
2020-02-08,Mediterranean,Not Critical,Bronx
2020-03-03,Asian,Not Critical,Manhattan
2020-03-02,American,Critical,Manhattan
2020-03-04,Soups & Sandwiches,Critical,Brooklyn
2020-02-20,Asian,Not Critical,Queens
2020-02-06,American,Not Critical,Manhattan
2020-02-06,American,Not Critical,Manhattan
2020-02-11,Mediterranean,Not Critical,Manhattan
2020-03-02,Coffee/Tea,Critical,Brooklyn
2020-02-04,Asian,Critical,Queens
2020-03-05,Coffee/Tea,Critical,Brooklyn
2020-02-28,Specialty,Not Critical,Manhattan
2020-02-25,Bakery Products/Desserts,Not Critical,Manhattan
2020-02-25,Bakery Products/Desserts,Not Critical,Manhattan
2020-02-25,Bakery Products/Desserts,Not Critical,Manhattan
2020-02-26,Asian/Asian Fusion,Not Critical,Manhattan
2020-02-14,American,Not Critical,Queens
2020-02-19,Pizza,Not Critical,Brooklyn
2020-02-15,Latin American,Not Critical,Brooklyn
2020-02-04,Asian,Critical,Brooklyn
2020-02-10,Italian,Not Critical,Manhattan
2020-02-06,American,Not Critical,Brooklyn
2020-02-25,Asian,Not Critical,Queens
2020-02-24,Asian,Critical,Brooklyn
2020-03-11,American,Not Critical,Manhattan
2020-02-26,American,Not Critical,Manhattan
2020-02-26,American,Not Critical,Manhattan
2020-03-09,Latin American,Critical,Queens
2020-03-05,Coffee/Tea,Critical,Brooklyn
2020-03-03,Specialty,Critical,Manhattan
2020-03-03,Asian,Not Critical,Manhattan
2020-02-12,Asian,Not Critical,Staten Island
2020-02-03,Asian,Critical,Manhattan
2020-03-05,Italian,Critical,Manhattan
2020-03-04,Specialty,Not Critical,Brooklyn
2020-03-03,Asian,Not Critical,Manhattan
2020-02-27,Specialty,Not Critical,Queens
2020-03-05,Latin American,Not Critical,Brooklyn
2020-03-09,Asian,Not Critical,Brooklyn
2020-02-20,Latin/Caribbean,Critical,Queens
2020-02-04,American,Critical,Manhattan
2020-02-14,Mediterranean,Critical,Queens
2020-02-12,American,Critical,Queens
2020-02-11,Latin American,Not Critical,Queens
2020-02-13,Italian,Critical,Manhattan
2020-02-03,International,Not Critical,Manhattan
2020-02-28,Asian,Not Critical,Manhattan
2020-02-03,American,Critical,Manhattan
2020-02-11,Asian,Critical,Queens
2021-02-10,Other,Not Critical,Brooklyn
2020-12-31,Asian,Not Critical,Bronx
2020-03-10,Asian,Not Critical,Queens
2020-02-26,American,Not Critical,Manhattan
2020-02-13,American,Not Critical,Queens
2020-03-02,Asian,Not Critical,Brooklyn
