tstamp,cuisine,critical_flag,borough
2020-01-22,American,Not Critical,Brooklyn
2020-01-30,Coffee/Tea,Not Critical,Manhattan
2020-01-28,American,Critical,Manhattan
2020-01-30,American,Critical,Manhattan
2020-01-07,Asian,Critical,Queens
2020-01-07,Pizza,Critical,Bronx
2020-01-27,Latin/Caribbean,Critical,Brooklyn
2020-01-15,American,Not Critical,Manhattan
2020-01-15,American,Not Critical,Manhattan
2020-01-14,Italian,Not Critical,Manhattan
2020-01-17,Asian,Not Critical,Queens
2020-01-29,Pizza,Not Critical,Manhattan
2020-01-27,Pizza,Critical,Brooklyn
2020-01-03,American,Critical,Bronx
2020-01-27,American,Critttical,Bronx
2020-01-16,American,Not Critical,Manhattan
2020-01-22,American,Critical,Brooklyn
2020-01-07,American,Critical,Manhattan
2020-01-15,Asian,Critical,Brooklyn
2020-01-23,American,Critical,Brooklyn
2020-01-06,Bakery Products/Desserts,Not Critical,Bronx
2020-01-02,Asian,Not Critical,Queens
2020-01-02,Asian,Not Critical,Queens
2020-01-07,Asian,Critical,Brooklyn
2020-01-06,Specialty,Not Critical,Queens
2020-01-30,Asian,Critical,Brooklyn
2020-01-28,Asian,Critical,Brooklyn
2020-01-13,Specialty,Not Critical,Manhattan
2020-01-27,Asian,Critical,Queens
2020-01-02,Asian,Not Critical,Queens
2020-01-31,Coffee/Tea,Not Critical,Manhattan
2020-01-16,Pizza,Not Critical,Brooklyn
2020-01-28,International,Critical,Brooklyn
2020-01-30,American,Not Critical,Brooklyn
2020-01-14,American,Critical,Queens
2020-01-08,Latin American,Not Critical,Manhattan
2020-01-17,Asian,Critical,Manhattan
2020-01-29,Coffee/Tea,Not Critical,Manhattan
2020-01-06,Bakery Products/Desserts,Critical,Queens
2020-01-13,Asian,Not Critical,Brooklyn
2020-01-13,Asian,Not Critical,Brooklyn
2020-01-15,Pizza,Critical,Brooklyn
2020-01-16,Asian/Asian Fusion,Critical,Brooklyn
2020-01-16,Pizza,Critical,Brooklyn
2020-01-23,American,Not Critical,Brooklyn
2020-01-30,Asian/Asian Fusion,Not Critical,Queens
2020-01-13,Coffee/Tea,Not Critical,Brooklyn
2020-01-31,Asian,Critical,Manhattan
2020-01-08,Pizza,Not Critical,Queens
2020-01-02,Asian,Not Critical,Queens
2020-01-24,Coffee/Tea,Critical,Manhattan
2020-01-14,Coffee/Tea,Not Critical,Brooklyn
2020-01-10,Mediterranean,Not Critical,Manhattan
2020-01-28,Mexican,Critical,Brooklyn
2020-01-28,Coffee/Tea,Not Critical,Brooklyn
2020-01-06,Asian,Critical,Brooklyn
2020-01-23,Specialty,Not Critical,Brooklyn
2020-01-31,American,Critical,Brooklyn
2020-01-28,Latin/Caribbean,Not Critical,Queens
2020-01-28,Latin/Caribbean,Not Critical,Queens
2020-01-15,Latin/Caribbean,Critical,Brooklyn
2020-01-02,Asian,Not Critical,Queens
2020-01-17,American,Not Critical,Manhattan
2020-01-08,Specialty,Critical,Queens
2020-01-14,Mexican,Critical,Manhattan
2020-01-06,Bakery,Not Critical,Manhattan
2020-01-22,Asian,Critical,Manhattan
2020-01-15,American,Not Critical,Bronx
2020-01-14,Asian,Not Critical,Brooklyn
2020-01-21,Soups & Sandwiches,Critical,Brooklyn
2020-01-30,American,Critical,Manhattan
2020-01-02,Mediterranean,Critical,Manhattan
2020-01-28,Asian,Critical,Queens
2020-01-11,American,Critical,Brooklyn
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-13,Asian,Not Critical,Bronx
2020-01-29,Asian,Not Critical,Queens
2020-01-24,American,Critical,Manhattan
2020-01-14,Mediterranean,Not Critical,Staten Island
2020-01-24,Bakery Products/Desserts,Critical,Manhattan
2020-01-22,Coffee/Tea,Critical,Manhattan
2020-01-07,Latin/Caribbean,Not Critical,Brooklyn
2020-01-29,Pizza,Critical,Bronx
2020-01-08,Mediterranean,Critical,Brooklyn
2020-01-27,Italian,Not Critical,Manhattan
2020-01-09,Pizza,Critical,Bronx
2020-01-13,Latin/Caribbean,Critical,Brooklyn
2020-01-22,Specialty,Not Critical,Brooklyn
2020-01-22,Specialty,Not Critical,Brooklyn
2020-01-16,American,Critical,Manhattan
2020-01-13,Asian,Not Critical,Brooklyn
2020-01-13,Asian,Not Critical,Brooklyn
2020-01-27,Mediterranean,Not Critical,Queens
2020-01-13,American,Critical,Manhattan
2020-01-30,Asian,Critical,Brooklyn
2020-01-08,Asian,Critical,Queens
2020-01-29,Deli/Buffett,Critical,Manhattan
2020-01-30,Asian,Not Critical,Brooklyn
2020-01-30,Coffee/Tea,Not Critical,Brooklyn
2020-01-31,Italian,Critical,Manhattan
2020-01-10,Mediterranean,Critical,Queens
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-27,American,Not Critical,Bronx
2020-01-28,American,Critical,Manhattan
2020-01-08,American,Not Critical,Manhattan
2020-01-16,American,Critical,Staten Island
2020-01-16,American,Critical,Staten Island
2020-01-31,American,Critical,Manhattan
2020-01-11,American,Not Critical,Brooklyn
2020-01-31,American,Critical,Manhattan
2020-01-31,American,Critical,Manhattan
2020-01-21,American,Not Critical,Queens
2020-01-23,Asian,Not Critical,Queens
2020-01-23,Asian,Not Critical,Queens
2020-01-07,Pizza,Not Critical,Manhattan
2020-01-03,Asian,Not Critical,Manhattan
2020-01-03,Asian,Not Critical,Manhattan
2020-01-13,Mexican,Critical,Manhattan
2020-01-23,Mexican,Critical,Bronx
2020-01-14,International,Critical,Manhattan
2020-01-23,Coffee/Tea,Critical,Manhattan
2020-01-27,Latin/Caribbean,Not Critical,Brooklyn
2020-01-21,Mexican,Critical,Queens
2020-01-07,Asian,Not Critical,Manhattan
2020-01-29,Asian/Asian Fusion,Not Critical,Manhattan
2020-01-22,Asian,Critical,Queens
2020-01-29,Frozen Desserts,Critical,Manhattan
2020-01-08,Asian,Critical,Brooklyn
2020-01-07,Asian,Not Critical,Manhattan
2020-01-25,Asian,Critical,Queens
2020-01-25,Asian,Critical,Queens
2020-01-13,Bakery Products/Desserts,Critical,Brooklyn
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-06,Specialty,Critical,Queens
2020-01-08,American,Not Critical,Manhattan
2020-01-02,Italian,Not Critical,Manhattan
2020-01-03,Italian,Critical,Queens
2020-01-02,Mexican,Not Critical,Manhattan
2020-01-13,Specialty,Not Critical,Manhattan
2020-01-13,Specialty,Not Critical,Manhattan
2020-01-03,Mediterranean,Critical,Manhattan
2020-01-08,Pizza,Critical,Manhattan
2020-01-29,Latin/Caribbean,Critical,Bronx
2020-01-16,Pizza,Not Critical,Bronx
2020-01-30,Latin/Caribbean,Critical,Brooklyn
2020-01-23,Specialty,Critical,Brooklyn
2020-01-02,American,Not Critical,Bronx
2020-01-08,Asian,Critical,Brooklyn
2020-01-07,Asian,Not Critical,Manhattan
2020-01-07,Asian,Not Critical,Manhattan
2020-01-14,American,Critical,Manhattan
2020-01-22,Mexican,Not Critical,Bronx
2020-01-03,Steakhouse,Critical,Manhattan
2020-01-30,American,Critical,Manhattan
2020-01-02,American,Critical,Staten Island
2020-01-16,Latin/Caribbean,Critical,Queens
2020-01-02,Bakery,Critical,Bronx
2020-01-31,American,Not Critical,Manhattan
2020-01-31,American,Not Critical,Manhattan
2020-01-16,American,Not Critical,Manhattan
2020-01-27,Asian,Not Critical,Bronx
2020-01-02,Asian/Asian Fusion,Not Critical,Queens
2020-01-02,Asian/Asian Fusion,Not Critical,Queens
2020-01-08,Frozen Desserts,Not Critical,Staten Island
2020-01-15,Pizza,Not Critical,Queens
2020-01-09,Coffee/Tea,Critical,Manhattan
2020-01-13,Bakery Products/Desserts,Critical,Brooklyn
2020-01-09,Latin American,Not Critical,Bronx
2020-01-23,Asian/Asian Fusion,Critical,Queens
2020-01-27,Asian,Not Critical,Queens
2020-01-29,American,Critical,Manhattan
2020-01-08,Mediterranean,Critical,Queens
2020-01-16,American,Not Critical,Brooklyn
2020-01-16,American,Not Critical,Brooklyn
2020-01-16,American,Not Critical,Brooklyn
2020-01-25,Southeast Asian,Critical,Brooklyn
2020-01-28,Specialty,Critical,Brooklyn
2020-01-03,Bakery,Critical,Manhattan
2020-01-10,Mediterranean,Critical,Brooklyn
2020-01-08,Mediterranean,Critical,Brooklyn
2020-01-22,Soups & Sandwiches,Critical,Manhattan
2020-01-29,American,Critical,Manhattan
2020-01-25,Mediterranean,Not Critical,Brooklyn
2020-01-23,American,Critical,Manhattan
2020-01-06,Asian/Asian Fusion,Critical,Brooklyn
2020-01-24,International,Critical,Manhattan
2020-01-30,Mediterranean,Critical,Brooklyn
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-27,Specialty,Critical,Queens
2020-01-29,American,Critical,Manhattan
2020-01-29,American,Critical,Manhattan
2020-01-22,Asian,Not Critical,Manhattan
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-06,Latin American,Critical,Queens
2020-01-29,American,Critical,Brooklyn
2020-01-28,Specialty,Not Critical,Brooklyn
2020-01-08,African,Not Critical,Bronx
2020-01-15,Coffee/Tea,Critical,Manhattan
2020-01-30,Mexican,Not Critical,Bronx
2020-01-30,Mexican,Not Critical,Bronx
2020-01-30,Mexican,Not Critical,Bronx
2020-01-28,Bakery Products/Desserts,Critical,Queens
2020-01-27,Latin/Caribbean,Critical,Brooklyn
2020-01-07,Specialty,Critical,Brooklyn
2020-01-08,Mediterranean,Not Critical,Brooklyn
2020-01-23,Coffee/Tea,Not Critical,Brooklyn
2020-01-23,Specialty,Not Critical,Brooklyn
2020-01-23,Specialty,Not Critical,Brooklyn
2020-01-08,Mediterranean,Not Critical,Queens
2020-01-29,Coffee/Tea,Critical,Brooklyn
2020-01-04,Pizza,Not Critical,Brooklyn
2020-01-10,American,Not Critical,Brooklyn
2020-01-10,Asian,Critical,Brooklyn
2020-01-27,Asian,Critical,Queens
2020-01-28,Coffee/Tea,Not Critical,Brooklyn
2020-01-21,Asian,Not Critical,Queens
2020-01-08,Southeast Asian,Not Critical,Manhattan
2020-01-23,Pizza,Critical,Bronx
2020-01-31,Specialty,Not Critical,Manhattan
2020-01-31,Bakery Products/Desserts,Critical,Manhattan
2020-01-23,Asian,Not Critical,Brooklyn
2020-01-23,Asian,Not Critical,Bronx
2020-01-29,Pizza,Critical,Queens
2020-01-29,American,Critical,Manhattan
2020-01-15,Pizza,Not Critical,Manhattan
2020-01-23,Coffee/Tea,Not Critical,Manhattan
2020-01-09,Specialty,Critical,Manhattan
2020-01-15,Latin/Caribbean,Critical,Queens
2020-01-24,Asian,Critical,Queens
2020-01-23,Asian,Critical,Queens
2020-01-10,Specialty,Not Critical,Manhattan
2020-01-22,Specialty,Critical,Brooklyn
2020-01-23,Asian/Asian Fusion,Critical,Brooklyn
2020-01-27,Pizza,Not Critical,Queens
2020-01-06,American,Critical,Queens
2020-01-22,Specialty,Not Critical,Brooklyn
2020-01-15,American,Critical,Brooklyn
2020-01-02,Mexican,Not Critical,Manhattan
2020-01-23,Specialty,Not Critical,Brooklyn
2020-01-29,American,Not Critical,Queens
2020-01-21,International,Not Critical,Manhattan
2020-01-15,Soups & Sandwiches,Critical,Brooklyn
2020-01-22,Specialty,Not Critical,Brooklyn
2020-01-30,American,Critical,Queens
2020-01-09,Soups & Sandwiches,Not Critical,Bronx
2020-01-09,Soups & Sandwiches,Not Critical,Bronx
2020-01-31,Deli/Buffett,Not Critical,Manhattan
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-21,American,Not Critical,Manhattan
2020-01-22,American,Not Critical,Manhattan
2020-01-24,American,Not Critical,Manhattan
2020-01-08,Pizza,Not Critical,Bronx
2020-01-23,Italian,Critical,Manhattan
2020-01-14,Mediterranean,Critical,Manhattan
2020-01-14,Mediterranean,Critical,Manhattan
2020-01-27,American,Critical,Brooklyn
2020-01-28,Coffee/Tea,Critical,Brooklyn
2020-01-29,Specialty,Not Critical,Manhattan
2020-01-06,American,Not Applicable,Queens
2020-01-31,Mediterranean,Not Critical,Manhattan
2020-01-10,Mediterranean,Critical,Manhattan
2020-01-30,Mediterranean,Not Critical,Brooklyn
2020-01-08,Asian,Not Critical,Queens
2020-01-27,Asian,Not Critical,Manhattan
2020-01-04,International,Critical,Brooklyn
2020-01-04,International,Critical,Brooklyn
2020-01-21,Coffee/Tea,Critical,Brooklyn
2020-01-23,American,Critical,Manhattan
2020-01-23,Asian,Not Critical,Queens
2020-01-29,American,Not Critical,Manhattan
2020-01-28,Asian,Critical,Queens
2020-01-25,Italian,Critical,Queens
2020-01-28,Pizza,Critical,Manhattan
2020-01-07,Specialty,Not Critical,Queens
2020-01-22,Coffee/Tea,Critical,Brooklyn
2020-01-10,American,Not Critical,Brooklyn
2020-01-14,Soups & Sandwiches,Not Critical,Staten Island
2020-01-29,Asian,Not Critical,Queens
2020-01-14,Asian,Critical,Staten Island
2020-01-29,International,Critical,Manhattan
2020-01-15,American,Not Critical,Manhattan
2020-01-08,Specialty,Critical,Brooklyn
2020-01-22,Pizza,Not Critical,Manhattan
2020-01-10,Bakery Products/Desserts,Not Critical,Queens
2020-01-16,Asian,Not Critical,Brooklyn
2020-01-08,American,Not Critical,Queens
2020-01-09,Soups & Sandwiches,Not Critical,Manhattan
2020-01-29,Specialty,Critical,Brooklyn
2020-01-06,American,Not Critical,Manhattan
2020-01-21,American,Critical,Queens
2020-01-27,Asian,Critical,Brooklyn
2020-01-07,Latin/Caribbean,Not Critical,Bronx
2020-01-08,Italian,Critical,Manhattan
2020-01-08,Asian,Critical,Bronx
2020-01-13,Pizza,Not Critical,Brooklyn
2020-01-13,Pizza,Not Critical,Brooklyn
2020-01-13,Pizza,Not Critical,Brooklyn
2020-01-21,Mexican,Critical,Queens
2020-01-31,Latin/Caribbean,Critical,Brooklyn
2020-01-07,Mediterranean,Not Critical,Bronx
2020-01-06,Asian,Not Critical,Bronx
2020-01-15,American,Critical,Manhattan
2020-01-08,Specialty,Critical,Queens
2020-01-29,American,Not Applicable,Brooklyn
2020-01-16,Specialty,Not Critical,Queens
2020-01-27,Mediterranean,Critical,Brooklyn
2020-01-23,Latin/Caribbean,Critical,Brooklyn
2020-01-21,American,Not Critical,Brooklyn
2020-01-10,American,Not Critical,Manhattan
2020-01-14,Frozen Desserts,Critical,Manhattan
2020-01-16,Latin/Caribbean,Not Critical,Brooklyn
2020-01-29,American,Critical,Brooklyn
2020-01-30,Latin American,Not Critical,Queens
2020-01-14,Asian,Critical,Brooklyn
2020-01-03,Asian,Not Critical,Queens
2020-01-06,Soups & Sandwiches,Not Critical,Queens
2020-01-06,Soups & Sandwiches,Not Critical,Queens
2020-01-13,American,Critical,Brooklyn
2020-01-31,Mediterranean,Critical,Brooklyn
2020-01-13,Specialty,Not Critical,Staten Island
2020-01-03,Asian,Critical,Queens
2020-01-08,Specialty,Critical,Queens
2020-01-06,Latin American,Not Critical,Bronx
2020-01-06,Latin American,Not Critical,Bronx
2020-01-13,American,Critical,Manhattan
2020-01-27,Bakery Products/Desserts,Critical,Bronx
2020-01-17,Coffee/Tea,Not Critical,Brooklyn
2020-01-07,Mexican,Not Critical,Manhattan
2020-01-07,Mexican,Not Critical,Manhattan
2020-01-07,Mexican,Not Critical,Manhattan
2020-01-10,Asian,Not Critical,Brooklyn
2020-01-30,Mexican,Critical,Bronx
2020-01-31,American,Not Critical,Brooklyn
2020-01-30,Asian,Critical,Queens
2020-01-07,American,Critical,Manhattan
2020-01-29,American,Not Critical,Queens
2020-01-11,American,Not Critical,Brooklyn
2020-01-13,Specialty,Critical,Queens
2020-01-17,Mediterranean,Not Critical,Manhattan
2020-01-27,Asian,Not Critical,Brooklyn
2020-01-23,Mexican,Not Critical,Queens
2020-01-29,Other,Not Critical,Manhattan
2020-01-28,Steakhouse,Critical,Manhattan
2020-01-08,Asian,Critical,Brooklyn
2020-01-24,Italian,Not Critical,Manhattan
2020-01-22,International,Not Critical,Manhattan
2020-01-23,Mexican,Not Critical,Brooklyn
2020-01-14,American,Not Critical,Manhattan
2020-01-24,Latin/Caribbean,Critical,Brooklyn
2020-01-24,Italian,Not Critical,Manhattan
2020-01-28,Latin/Caribbean,Critical,Brooklyn
2020-01-16,Asian,Critical,Brooklyn
2020-01-08,International,Critical,Brooklyn
2020-01-29,Asian,Critical,Brooklyn
2020-01-31,American,Not Critical,Manhattan
2020-01-09,Soups & Sandwiches,Critical,Brooklyn
2020-01-10,International,Critical,Manhattan
2020-01-23,Pizza,Critical,Bronx
2020-01-29,Bakery,Critical,Queens
2020-01-16,American,Not Critical,Manhattan
2020-01-06,International,Not Critical,Brooklyn
2020-01-16,American,Critical,Manhattan
2020-01-24,American,Not Critical,Manhattan
2020-01-06,American,Critical,Queens
2020-01-04,Soups & Sandwiches,Critical,Brooklyn
2020-01-30,Mediterranean,Critical,Queens
2020-01-27,Asian,Critical,Brooklyn
2020-01-16,American,Not Critical,Manhattan
2020-01-31,American,Critical,Manhattan
2020-01-07,Bottled Beverages,Not Critical,Brooklyn
2020-01-07,Bottled Beverages,Not Critical,Brooklyn
2020-01-03,Asian,Not Critical,Queens
2020-01-24,Pizza,Critical,Manhattan
2020-01-27,Italian,Critical,Manhattan
2020-01-15,Latin American,Critical,Manhattan
2020-01-09,American,Not Critical,Manhattan
2020-01-22,Mediterranean,Critical,Queens
2020-01-28,Coffee/Tea,Not Critical,Manhattan
2020-01-10,International,Critical,Manhattan
2020-01-13,Latin/Caribbean,Not Critical,Queens
2020-01-13,Latin/Caribbean,Not Critical,Queens
2020-01-21,International,Not Critical,Queens
2020-01-22,Asian/Asian Fusion,Critical,Manhattan
2020-01-22,American,Critical,Manhattan
2020-01-27,Asian,Not Critical,Manhattan
2020-01-21,Mexican,Critical,Queens
2020-01-29,Asian,Not Applicable,Queens
2020-01-08,Asian,Not Critical,Brooklyn
2020-01-17,Soups & Sandwiches,Not Critical,Queens
2020-01-03,Pizza,Not Critical,Brooklyn
2020-01-28,Specialty,Not Critical,Bronx
2020-01-28,Specialty,Not Critical,Bronx
2020-01-09,Pizza,Not Critical,Bronx
2020-01-30,Pizza,Not Critical,Manhattan
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-06,Asian,Not Critical,Brooklyn
2020-01-06,Asian,Critical,Queens
2020-01-27,Asian,Critical,Queens
2020-01-13,Pizza,Critical,Brooklyn
2020-01-29,Specialty,Not Critical,Brooklyn
2020-01-06,American,Not Critical,Brooklyn
2020-01-02,Pizza,Critical,Brooklyn
2020-01-02,Mexican,Not Critical,Brooklyn
2020-01-15,Mediterranean,Critical,Manhattan
2020-01-02,Asian,Not Critical,Manhattan
2020-01-17,Latin/Caribbean,Critical,Brooklyn
2020-01-02,Pizza,Not Critical,Manhattan
2020-01-16,Mexican,Critical,Brooklyn
2020-01-02,Mexican,Not Critical,Manhattan
2020-01-02,Latin American,Critical,Manhattan
2020-01-10,Asian,Not Critical,Brooklyn
2020-01-23,Coffee/Tea,Critical,Manhattan
2020-01-06,Latin/Caribbean,Not Critical,Queens
2020-01-02,American,Not Critical,Queens
2020-01-30,Asian,Not Critical,Queens
2020-01-30,Asian,Not Critical,Queens
2020-01-28,Specialty,Not Critical,Brooklyn
2020-01-16,Specialty,Critical,Manhattan
2020-01-21,Asian,Critical,Manhattan
2020-01-02,Mediterranean,Critical,Brooklyn
2020-01-23,Mexican,Critical,Queens
2020-01-29,Mediterranean,Critical,Brooklyn
2020-01-30,American,Not Critical,Manhattan
2020-01-30,American,Not Critical,Manhattan
2020-01-24,American,Critical,Manhattan
2020-01-22,American,Critical,Manhattan
2020-01-21,Asian,Critical,Manhattan
2020-01-14,Bakery Products/Desserts,Critical,Manhattan
2020-01-16,Bakery Products/Desserts,Not Critical,Staten Island
2020-01-27,Asian,Not Critical,Bronx
2020-01-02,Asian/Asian Fusion,Not Critical,Queens
2020-01-29,Asian,Critical,Brooklyn
2020-01-30,Mediterranean,Not Critical,Manhattan
2020-01-30,Mediterranean,Not Critical,Manhattan
2020-01-29,American,Critical,Manhattan
2020-01-08,Asian,Critical,Queens
2020-01-27,Pizza,Not Critical,Queens
2020-01-27,Pizza,Not Critical,Queens
2020-01-23,International,Not Critical,Manhattan
2020-01-23,International,Not Critical,Manhattan
2020-01-31,Specialty,Critical,Brooklyn
2020-01-14,Coffee/Tea,Critical,Queens
2020-01-13,American,Critical,Manhattan
2020-01-03,Steakhouse,Critical,Manhattan
2020-01-14,Mediterranean,Not Critical,Manhattan
2020-01-22,Specialty,Critical,Brooklyn
2020-01-13,Asian,Critical,Bronx
2020-01-30,Asian,Critical,Brooklyn
2020-01-30,Latin American,Critical,Brooklyn
2020-01-14,Mediterranean,Critical,Bronx
2020-01-16,American,Not Critical,Manhattan
2020-01-02,Mexican,Not Critical,Brooklyn
2020-01-15,American,Critical,Brooklyn
2020-01-06,Soups & Sandwiches,Critical,Queens
2020-01-21,Latin American,Critical,Bronx
2020-01-22,Asian,Not Critical,Manhattan
2020-01-14,International,Critical,Manhattan
2020-01-24,Coffee/Tea,Not Critical,Manhattan
2020-01-28,Coffee/Tea,Not Critical,Brooklyn
2020-01-09,American,Critical,Queens
2020-01-09,Italian,Critical,Manhattan
2020-01-27,Asian,Not Critical,Brooklyn
2020-01-27,Asian,Not Critical,Brooklyn
2020-01-15,Asian,Critical,Manhattan
2020-01-22,Mexican,Critical,Brooklyn
2020-01-14,Steakhouse,Critical,Manhattan
2020-01-23,International,Critical,Queens
2020-01-08,Asian,Not Critical,Staten Island
2020-01-15,American,Not Critical,Manhattan
2020-01-29,Coffee/Tea,Critical,Queens
2020-01-07,Mediterranean,Not Critical,Queens
2020-01-07,Mediterranean,Not Critical,Queens
2020-01-28,Mediterranean,Critical,Manhattan
2020-01-28,Latin/Caribbean,Critical,Brooklyn
2020-01-23,Latin American,Not Critical,Brooklyn
2020-01-08,American,Not Critical,Brooklyn
2020-01-09,Asian,Not Critical,Brooklyn
2020-01-16,Specialty,Not Critical,Bronx
2020-01-08,American,Not Critical,Manhattan
2020-01-08,American,Not Critical,Manhattan
2020-01-27,Mexican,Critical,Brooklyn
2020-01-15,Asian,Not Critical,Brooklyn
2020-01-15,Other,Not Critical,Manhattan
2020-01-10,Asian,Critical,Brooklyn
2020-01-09,American,Critical,Bronx
2020-01-06,Asian/Asian Fusion,Not Critical,Queens
2020-01-24,American,Critical,Brooklyn
2020-01-23,American,Not Critical,Bronx
2020-01-09,Asian,Not Critical,Manhattan
2020-01-09,Asian,Not Critical,Manhattan
2020-01-29,Asian,Not Critical,Queens
2020-01-23,Latin American,Not Critical,Bronx
2020-01-27,Mexican,Not Critical,Queens
2020-01-17,Bakery,Not Critical,Manhattan
2020-01-17,Bakery,Not Critical,Manhattan
2020-01-28,Specialty,Not Critical,Bronx
2020-01-23,Asian,Critical,Staten Island
2020-01-16,American,Critical,Manhattan
2020-01-03,Asian,Critical,Queens
2020-01-07,Latin American,Not Critical,Queens
2020-01-10,Asian,Critical,Queens
2020-01-09,Pizza,Critical,Brooklyn
2020-01-29,Asian,Critical,Brooklyn
2020-01-03,Soups & Sandwiches,Not Critical,Manhattan
2020-01-17,Bakery Products/Desserts,Not Critical,Manhattan
2020-01-09,American,Not Critical,Queens
2020-01-14,Mediterranean,Critical,Manhattan
2020-01-07,Asian,Not Critical,Brooklyn
2020-01-07,International,Critical,Brooklyn
2020-01-09,Coffee/Tea,Not Critical,Manhattan
2020-01-27,Specialty,Not Critical,Brooklyn
2020-01-30,Asian,Not Critical,Queens
2020-01-21,American,Not Critical,Brooklyn
2020-01-31,Asian,Not Critical,Manhattan
2020-01-28,Specialty,Not Critical,Brooklyn
2020-01-30,Asian,Not Critical,Manhattan
2020-01-30,Specialty,Not Critical,Bronx
2020-01-29,Bakery,Not Critical,Manhattan
2020-01-15,Asian,Critical,Manhattan
2020-01-15,Asian,Critical,Manhattan
2020-01-24,American,Not Critical,Manhattan
2020-01-16,Italian,Critical,Manhattan
2020-01-06,Latin American,Critical,Bronx
2020-01-15,Asian,Not Critical,Manhattan
2020-01-22,Italian,Not Critical,Brooklyn
2020-01-24,Pizza,Not Critical,Manhattan
2020-01-02,Specialty,Critical,Brooklyn
2020-01-17,Soups & Sandwiches,Not Critical,Queens
2020-01-27,Asian,Not Critical,Manhattan
2020-01-25,American,Critical,Brooklyn
2020-01-06,Specialty,Not Critical,Queens
2020-01-14,International,Critical,Brooklyn
2020-01-09,Bakery Products/Desserts,Critical,Brooklyn
2020-01-09,Bakery Products/Desserts,Critical,Brooklyn
2020-01-28,Mediterranean,Not Critical,Manhattan
2020-01-13,Pizza,Not Critical,Brooklyn
2020-01-09,American,Not Critical,Manhattan
2020-01-06,Asian,Critical,Manhattan
2020-01-29,Italian,Not Critical,Brooklyn
2020-01-14,Coffee/Tea,Not Critical,Queens
2020-01-29,Asian,Not Critical,Queens
2020-01-27,American,Critical,Manhattan
2020-01-27,Coffee/Tea,Critical,Queens
2020-01-14,Latin American,Critical,Queens
2020-01-13,Latin/Caribbean,Critical,Brooklyn
2020-01-30,Asian,Critical,Manhattan
2020-01-11,Coffee/Tea,Critical,Brooklyn
2020-01-16,American,Critical,Brooklyn
2020-01-15,Coffee/Tea,Not Critical,Queens
2020-01-06,Specialty,Not Critical,Bronx
2020-01-28,Asian,Not Critical,Queens
2020-01-07,Coffee/Tea,Critical,Manhattan
2020-01-11,Italian,Not Critical,Brooklyn
2020-01-28,Asian,Critical,Manhattan
2020-01-09,Asian,Critical,Brooklyn
